video_id,comments
7LJ4YQpPzw8,"['92 pzda zail2', 'Pretty bunny is there', 'Tr Ard bga playboy ohin ym huurhn ymbe ig gin mdh Hun bnu ahah', 'Huyyee 3:34 orj irj bga ohinii ig??', 'Kai Comback hiijee', 'Tuulai ch mair yumaa', 'hoid taliin ohiniig n harsaar bgaa l taarlaa', 'ehnii zaluu tegej tsohidogguishdee', 'Tuulaind durtai kesh😂', 'kai iig tsohihiig 17:39 sec huleelee']"
k21lWOuOXqU,"['Ehnii ohin yasan maygtai yum be.mayg ni uurt ni zohiogui bn', 'Nominating hooloi nre arai2 hha', 'Undarmaa egch unen huurhn um a urgelj busdad ineed huur beleglej baidag mundag hun shu', 'Usnii 600к gex shig', 'Буруу бичсэн байна ахаа', 'yum uzeegui guilagchid hoorhiidoo chaawas😂😂😂😂😂😂', 'Channel kshajin😂', 'Би танай нэвтрүүлэгт ормоор байна яаж орох вэ? Миний өмссөн зүүсэн хангалттай үнэтэй байж чаднаа pls', 'Undarmaa yag eruul bishee', 'Ter 3th n raznova munuu']"
i1qv2N6yvOc,"['0:21 дээр гарч байгаа охины IG юу вэ?', 'Wow 🥰❤❤']"
xzn45_WU_VE,"['Joohon matiraallagu kshog shog2 hahhha', 'ter tseregt yvsan giojuur zaildaa', '20:07 deer booljlo shu huy odoo tevrnee chihshg durara ***** bee hahah Zagdaa ahd heled zaginuulcmar yube hahahhaha', 'Ene robot voice ni bur chihend chiirte ymaa ydaj joohn sullj bldgumu esul humusinhe yriag changallda fuuck', 'Mangar reklam hiisen teneg episode. Jaahan medremjteibj surmaaraa', 'Hamraaraa dardg zaluu huurhiima hhah', 'Ичирхорлоогийн ig fb bny??', 'suuliin zaluu bol hahha', 'Bi orii thvv haha🎉', 'Uyangaaa bnuuudaaa']"
UWmkPKFQuO8,"['Zuragcin zaluu dm bcre ajilin sanal?\U0001fae0', 'Temuulen is so cute', 'camiluna gesen nertei vlog hiideg 2 egch baidag ternii 1 ni bn shdee zugeer l amidardag gesen uy deer', 'shiweesns aidg zalu bol hud boyyy hahah', 'Daraalj ulaan tovch turuulj darag deer limit taviyaa. Neg hunee udaan uzheer zalhaj bn!!!', 'Zarim ni arai l cringe yuma', 'Aaaashit 🎉❤ svliihn ysn huurhiin hh', 'Aimmar tsarai muutai zaluuchuud n hurdaaraa guitseed daraad bgaa n shudraga bus sanagdlaa. Yalgaatai yum bee', 'ene match bolsn Duuren gd zaluugiin ig n yuin boloo hhahah', 'Shar ustei zalugiin ig bnuu huurhun inediinbee kk']"
6hR0Y8whpVA,"['Tergel super cute', 'Narmandakh geed bga shaljiisan pizda we😂😂', 'Taksiin ii mungu guidag huuhed huurhun ymaa', 'Эргүү гар вэ эхний залуу', 'Хулан гээд энэ охины fb хаяг нь', 'haha', 'Nasty button, herhen orj bolh we?', 'Ene emgteinuud n bogtygood suucxima ivgu hrgdaadeihy', 'gadaad turh hardag ohin yadj korset zuugeed uuruuu tsewrhen bolooroi ahhh', 'Hulan bol goychijee ene heded hahah']"
jugGtYkjtZ8,"['1 udaagiin beelii omsuulj bgaachee tsaashid', 'Muuuum 😮', 'uiluulaad yariulad bdag ni sonirholtoi ma', 'Ym idvvlj ym yridag, het ich chich dojirdog show hutulburuu bolimoor ym', 'hunee goy duustal n yariulaadd asuultaa tabiadd yavii bro yadrgaatai sonsogdoodd bna 😅😅', 'Bro ymar negen huniig uriad one chip challenge gedeg chipsiig iduulvel ymar ve', 'Huurhun tsarailag ohin shu🥰', 'aoo hurhinbe\U0001faf6\U0001faf6', 'Complex First We Feast copy cat', 'Tuuguugin duu ymu😂😂🤣']"
JSetp9niTsg,"['8:35 aagulug gsha', 'Svvliin 2 ystoi huurhun ❤', 'jamts buur unen trash zaluu bn.', 'sainzaya ene dotroo next level baina oo buruu gazraa irsen bololtoi', '16 tai boy: dandaa nastai humuus bh shig bn haha', 'Ihenh n uurtuu itgelgui hurdhan shig l towchluuraa darah geed. Huniig gadaad uzemjeer n dugnedeg yum shig sanagdla', 'Энэ одоо зангаж мангаад яагаад бна', 'ta hedtein gesnee anagaahd eej or gd oroh gj bgaa gnee wanana hahah', '3:56 18te ksh', 'sulin 2 huurhin goy hosud blsn bhda']"
9X4Vp0I5aCk,"['Gremix  ээжийгээ санаад бна \nНөгөө нь охин найрагдаж байсан уу', 'Гиримигс ахийг би дэмждэг', '17min 50sec ilig avla', 'Hust', 'Suulin ejiigee sanaad bn gdg heseg deer ttj unlaa🤣🤣🤣', 'Uugaasaa subscribe dartsaan', 'Hi', '10 nastai youtube uzej bga bi: zaas 4 jil l dutuu bn shde', 'Odoo huuhdudiig 1 ugeer helvel papariz', 'eron ci emordgu?\nG...aanhaaan\nemorhoor yj emoroh we?\nG...oo tgeel ger zuurshde hha']"
U-XMnDuot7k,"['taiwnaa geed ohiniii instagram medeh hvn bnuu?', 'psdaaaaaaaaaaaaaaa', 'shijiree yu hdg gd bgam bol', 'Shijireed bi hairtai', '18tai monh orgil ni ysn hoorhiin fb ig n mddg hun amitan bvl ogoreee', 'Suhbat ymar ih ordgiin be', '5:10 deer garj bga zaluu huurhun aashtai neelttei zaluu we 😊', 'долир шаар чинь яасаних хүн голдог юм.', 'nasaarl golloodoo ter negamitniig', 'Hamaatai bolool darlaashde yankan chn']"
s1X0oX3Pkzg,"['ehnii zaluugin social ni yuve?', 'Abe junya❤', 'Ene eejiin oroonoos hussan gedeg busgui yasan buduuleg yaridiin bee. Olon niitiin suljeeheer yarij baij ayataihan uh songoj boldoggui yum bhdaa', '4deh har deeltei egch gutlaa buruu harulad omschij ntr kk', '3dah tsagaan pidjaktai egch hamag mongoo omstson yvhawr shudee ynzluulku dee', 'yamar goe hediiin beeee ohhh tnk uuuu humuuuus mini ❤️🙏🏼 bayan bsn ni engiin baival iim l goe bn daaaaa', 'Tsagaan pijakta egciin insta ni yuiiin bolloo?', 'Брэнд гэж өвчигнөдөг тэнэг зангаа болих хэрэгтэй. Эдээр гайхуулахаар эрдмээр гайхуул гэж', 'Japan model n soyoltoi huurhun yumooo', 'Nanann mni hurhn Naranzun ah']"
EuWzxwvICYg,"['Ene emegtei hotlogchoo boli2 zndoo heljin shd boliuljih l daa\U0001f972', 'ymr ch anhniih zvger hotlogch demi ymaa.   tgd awsn ymniiha vniig sanahgui bnaa hvmvvs ygd iim mal bdg bainaa', 'Uursduu handlagaa uurchil ehleed , unertnii uvuu bolohoor l unert us asuuj ntr busad n yasan be!!!', 'өвөө 😍😍😍', 'Үнэртний өвөө маань даруухан гэж.. ер нь их даруу хүмүүс оржээ', 'МӨНГӨ АВААГҮЙ БОЛХООР СЭТГЭЛ ГАРГААГҮЙ БАЙХДАА', 'Ene volumeplus yatsiin be? Hotlogch hog bn. Tged ehnii huuhnii utas ni 500.000k gj bhad niit 507000k gsh xaxa', 'Энэ бол хэдийнбэ гийн түүхэндэх хамгийн пязда дугаар байлаа. Бүх юмыг нь асуухгүй тэгснээ Үнээ хүртэл буруу бичээд. За хөтлөгчийн энэ чадваргүй, унтаа яриаг бол яриад ч хэрэггүй байх. Анх удаа уурлаж үзлээ дээ Хэдийнбээ-г', 'ХЭДИЙНБЭЭ???  geed garchigaa ch bicheegvi chaasn', 'mic ee amruuni chihleee barag😅']"
_nzZLtz_V5I,"['Үнхээр гоё нимтрүүлэиг болжээ😍😍', 'Bayanhongoroos oldson gutal baihaa', 'Үнэхээр гоё болжээ', 'Бүгдээрээ гоё байлаа, гоё тайлбарлалаа. Гэхдээ жүжигчин Шинэбаяр гоц гойд тайлбарлан ярьдаг залуу юм аа. \nБаярлалаа.', 'Volyme plus-аа pls ""СОЛИЛЦОО\nкиноны  хэдийнээ????? Хийгээд өгөөч', 'haad hatdiin oldvoruudaas bish dandaaa udur tutmiin ingiin edlej  hergeldeg bsn oldvoruudaaas avch hiisen.', 'Puuu unelj barashgui mongol', 'пайз гэж ярьмааргүй л байгаамда', 'Жүжигчин Доржсүрэн үнэхээр гайхалтай сайхан жүжиглэж байна яг л тэр дүрдээ орж үзэгчдийг тэр дүрд автуулж чадаж байна лэ.', 'Host: сайн байна уу? Таны...?\n\nEveryone: Олдворынх...']"
PVI4PMXprew,"['ene hediinbeeg uzeheer l humuus negendee iim ih beleg ugdiim baihdaa gej bodhiin hahaha', 'bumblebee ain', 'edniid ter svvld gardag shireenii xvvxen yuugaa hiiigeeen bee 😂', 'Xaxaxa 16 say won geesh bvlterhiimaa xaxaxa', 'Бренд нэр улс болгонд өөрөөр дуудагддаг болохоор хэцүү шд хамуудаа', 'why yall so mad 💀', 'Aimar untei huwtsasnuud umssun murtluu ymr suga haragddag zaluuchuud we', 'хуго босс😇', 'Goy bnao mgl Uls hogjij bnao goy bna zaluus mungulug bn goy', 'uuriihuu mnguuruu l avsn ymiig yugej helsen ch yadginbe lalaruudaaa zuw buruu hellee geed uhchih ge shaaga hwhahaha uursud shigee tusuuluud bdgshasn']"
oTHMBcSoDbs,"[""4:20 Whe Hold of AG's fuckin bruhh moment dickeexapuulaad bgamuu"", 'Uchral tiin2 myngan udaa hellee barag.setguulch hun bj iim sul ug yasan ch ih heregledegiin', 'Пизда минь битгий хойч үед хэл соёл өөрчлөөд буруу үлгэр дуурайл үзүүлээд байгаарай хар ал минь Хэд юм бэ гэж бичээрэй согтуу эх баригчийн алдаа минь', 'uchral sda tiin222 gdg uvchtei yumu haashain', 'ganaa is best', 'Энэ Учрал чинь татдаг юм бишүү...ттийн тийн тийн тийн гэшш...🤣', 'iim nevtruuleg huuhgej baigaa bol neriin zov bisheldei hed yum be geed', 'mal ganaaa 😂😂', 'Оля хөөрхийн', 'uchral ntr hacin pisda bshde']"
7m6yTESKtJM,['2 hotlogch ontsgvi baina yasan aimr horon yumbee :(']
cvVGzWVfcgw,[]
l1GeQ_8Cixg,[]
8VpUGIX-W2M,[]
mI6qSsBHQq4,[]
KEQ3fr--eKU,"['Ehnii huuhen mayglaj yrij bgaa ni yruusuu zohihgui bn', 'Enkhmaa yamar uzesgelentei yum be. Neeh unetei huvtsas hunar umsuugui bj uuruu ter huvtsasaa amiluulaad unheer emegtei hunii buh goo uzesgelen zayachijee woow. 😍', 'Хамгийн эхний эгч ямар хөөрхөн эгч вэ♥', 'har savhitai huuhen chi bur tasartsan amitan bshte guluk gj', 'Yamar aimar muuldiinbe 🤦🏻\u200d♀️', 'toogii-n daraah huuhen heden angli ug helj surchaad 65 saya rolex zuugeesei, unique, couture gedeg zereg ugnuudiig shuud usegleleer ni unshaad yavchihlaa 😂', 'batterygaas uur hooloi sonsooll uzku butsaad garchdag bolson bnooo', 'Ene micee am ruu chihchih geed bhiin', 'Yrih gej yrgalaad,nvdee tsavchij ntr ydargaat sheesnvvd', '84 say uuriinhuuruu huurhun l bnshdee joohon hvvhed shig']"
Uu9Xm-iEXXo,"['Bi hediinbeed ormoor bn yaval orj boloh be', 'tugs hurhun nmntsatsral muhai', 'Nomintsatsral gej ajil hideggui novsh bayanii boov huhsuur bgd am mam n buur yaajiichjee.. ivii ivii tejeegcher aldahviidee... ymr muuhai shamjiisan churchiisun bor huhen bee... unetei huvtsas gutaasan novsh', 'Монгол брэндийнхээ нэрийг бичээч, ямар онцгүй өөдгүй лалрууд вэ', 'Пунтикт улаан цүнхийг нь төрсөн өдрөөр нь хүн бэлэглэж байсаншдээ, төрсөн өдрийнхөө маргааш нь харуулж байсан биздээ ккк', 'nomintsatsrl  zlaaa balaa sdaamn. tugs ♡♡', 'Puntik iig harhaar buh ym ni fake haragdaad bhin 😅', 'ene nomintsatsral yaatsiin be 😅 uuriinhuuruu engiin l baildaa 🤮', 'Saajilttai huuhed shig bhiin', 'erguuteel nomintsatsral yaachad bgn huurhun l bgzde shn l amidrch bnshd uursduu chadahgui baigaa ni tendee l ym bgz neeh albtai ymshg uzcheed olon ym hutsad ta nariin naad tng sanal chin bur hend ch hrggu tehh']"
a_46ziyPIjo,"['ene 3t gardag bhoo bhoo gedeg zaluu ymar ineedteimbee haha ""utas"" gsn chn ""utas bgaa"" ch gh shg haha', 'Batbayar wonoor helsen bn 😃', '🔋bhgvi ch manai emegtei hotlogch ulam mundag bolj bn oo 💪💚', 'Batbayr solongos aylgar yrd bnshd hha', 'Батбаяр бараг воноор юмныхаа үнийг хэлчихсэн байх өө 🤣']"
crUttieWduY,['Hutlugch nar mia bna']
VVMbRn7z3ac,[]
60YjqITfMOY,['А']
